,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus,Plus,Plus,Plus,calculated,plus,calculated,Plus,calculated,plus,Plus,Calculated,Plus,Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2025 3:12:32,No,Absolutely,Yes,More than 24 hours,,"Console (e.g., PlayStation, Xbox, Nintendo), PC","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,No,5,Yes,3,1,4,No,No,No,No,No,1,1,No,3,Yes,8,CAT,"car, chair",2,1,2,3,3,3,3,3,4,2,3,3,3,3,3,2,1,No,1,No,I keep myself prepared by considering negative alternatives,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",3,2,No,No,1,Yes,Yes,No,No,2,Yes,3,No,No,3,5-8 hours,3.0-3.3,3,2,Yes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",I am not sure,18,Moderate Stress
12/22/2025 17:54:55,No,Absolutely,Yes,5-8 hours,Yes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Sometimes,Sometimes,4,Sometimes,1,2,1,No,Yes,Yes,Yes,Yes,1,2,No,1,Yes,8,CAT,"car, chair",2,2,1,3,3,3,3,3,2,4,2,3,3,2,4,4,3,Yes,5,Yes,I am mostly positive,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",2,1,Yes,Yes,4,No,No,No,Yes,4,Yes,4,No,Yes,4,1-4 hours,3.0-3.3,2,1,Sometimes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,18,Moderate Stress
12/24/2025 8:14:24,No,Absolutely,Yes,1-4 hours,Yes,"PC, Mobile (phone or tablet)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,3,Sometimes,2,2,1,No,Yes,Yes,No,No,1,1,No,3,Yes,8,CAT,"car, chair",1,1,1,4,4,3,2,4,3,3,2,2,4,3,3,3,2,No,2,Yes,I am mostly positive,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",2,1,No,No,1,No,No,No,No,2,Yes,3,No,No,5,5-8 hours,3.3-3.7,2,1,Sometimes,"Failure is the pillar of success. Next time, I will surely make it","No, I need to do better",Yes,20,Moderate Stress
12/24/2025 19:12:02,Yes,Absolutely,Yes,21-24 hours,Yes,PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Sometimes,2,3,3,No,No,No,Yes,No,1,1,No,3,Yes,7,"CAR, CAT","table, chair",1,2,4,3,4,3,3,3,3,3,2,2,4,3,3,3,2,Yes,4,No,I am mostly positive,Ambivert,No,Yes,"No, I love interacting with people",2,2,No,Yes,4,Yes,Yes,No,No,3,No,4,No,Yes,5,17-20 hours,3.7-4.0,1,2,No,"Failure is the pillar of success. Next time, I will surely make it","Yes, I am happy with my academics. No regrets.",Yes,20,Moderate Stress
12/24/2025 23:29:14,Yes,Absolutely,Yes,1-4 hours,"No, I mostly play alone",PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,3,Sometimes,4,3,3,No,No,Yes,Yes,Yes,3,3,Yes,4,Yes,8,CAT,"car, chair",2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,4,Yes,I keep myself prepared by considering negative alternatives,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I genuinely want to be left alone. I like it this way,3,3,Yes,Yes,3,Yes,No,No,Yes,3,Yes,3,Yes,Yes,3,5-8 hours,3.7-4.0,3,3,Sometimes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",I am not sure,20,Moderate Stress
12/25/2025 14:21:18,No,Absolutely,Yes,1-4 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games) - Age of Empires",Yes,Sometimes,3,Sometimes,2,3,5,Yes,No,Yes,Yes,Yes,5,3,Yes,4,Yes,8,"CAT, CHAIR","car, table",1,2,3,3,3,3,3,3,4,2,2,3,3,4,2,3,2,Yes,4,No,I keep myself prepared by considering negative alternatives,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I am awkward and I don't know how to engage with people,2,1,No,Yes,2,No,No,No,No,2,No,2,No,No,4,9-12 hours,3.7-4.0,2,3,No,I didn't try hard enough. I could've achieve it if I tried more,"Yes, I am happy with my academics. No regrets.",I am not sure,20,Moderate Stress
12/22/2025 14:26:15,No,Absolutely,Yes,9-12 hours,Yes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,3,Sometimes,1,2,4,Yes,Yes,Yes,Yes,Yes,2,3,Yes,2,Yes,7,"CAR, CAT",chair,1,2,3,4,5,3,2,4,4,2,2,3,3,3,3,2,3,No,5,Yes,I keep myself prepared by considering negative alternatives,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I am awkward and I don't know how to engage with people,2,2,No,Yes,4,Yes,No,No,No,2,Yes,3,No,No,2,5-8 hours,3.3-3.7,3,5,Sometimes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",I am not sure,21,Moderate Stress
12/24/2025 13:54:06,No,Absolutely,Yes,More than 24 hours,Yes,PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,No,4,No,1,3,5,Yes,Yes,Yes,Yes,Yes,2,3,Yes,4,Yes,8,CAT,"car, table, chair",2,3,3,3,4,2,4,2,3,3,4,4,2,5,1,1,3,Yes,5,No,I keep myself prepared by considering negative alternatives,Ambivert,No,No,"Sometimes, depends on my mood",5,1,No,Yes,5,Yes,No,Yes,Yes,5,Yes,3,Yes,No,2,1-4 hours,2.3-2.7,2,1,Yes,I am just not good at it,"Yes, I am happy with my academics. No regrets.",I am not sure,21,Moderate Stress
12/24/2025 18:23:38,Yes,Absolutely,Yes,9-12 hours,Yes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games) - Age of Empires",Sometimes,Yes,5,Sometimes,4,3,4,Yes,Yes,No,No,No,3,1,No,5,Yes,9,"CAR, CAT","table, chair",2,3,5,4,3,2,3,3,4,2,3,3,3,4,2,2,3,Yes,2,No,I am mostly positive,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","No, I love interacting with people",2,1,No,Yes,5,Yes,No,No,No,1,Yes,2,No,No,3,13-16 hours,3.3-3.7,4,1,No,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",No,21,Moderate Stress
12/25/2025 22:04:36,No,Absolutely,Yes,9-12 hours,"No, I mostly play alone",PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,No,4,Sometimes,1,2,2,No,No,Yes,Yes,No,1,1,Yes,4,Yes,8,CAT,chair,1,3,4,3,3,4,3,3,3,3,4,1,5,2,4,1,3,Yes,3,Yes,I keep myself prepared by considering negative alternatives,Introvert,No,Yes,I only interact only when a need arise,1,1,No,Yes,5,Yes,No,No,No,3,Yes,2,No,No,4,17-20 hours,3.3-3.7,4,4,No,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",I am not sure,21,Moderate Stress
12/22/2025 16:51:47,Yes,Absolutely,Yes,1-4 hours,Yes,Mobile (phone or tablet),"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Yes,3,2,2,No,Yes,No,Yes,Yes,1,1,No,4,Yes,6,CAT,chair,2,1,4,3,3,4,3,3,2,4,3,3,3,3,3,4,4,Yes,4,Yes,I keep myself prepared by considering negative alternatives,Extrovert,No,No,"Sometimes, depends on my mood",3,2,Yes,No,1,No,No,No,Yes,3,No,3,Yes,Yes,3,9-12 hours,3.3-3.7,4,3,No,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",I am not sure,22,Moderate Stress
12/24/2025 13:48:35,No,Absolutely,Yes,5-8 hours,Yes,PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Sometimes,Sometimes,2,Sometimes,1,2,2,No,Yes,Yes,Yes,Yes,4,2,Yes,4,Yes,7,CAT,chair,3,2,2,2,5,5,3,3,2,4,3,2,4,2,4,3,3,Yes,5,No,I keep myself prepared by considering negative alternatives,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I want to but I feel burnt out from too much interaction,2,1,No,Yes,1,No,Yes,No,No,4,Yes,5,No,No,4,1-4 hours,3.7-4.0,3,4,Yes,"Failure is the pillar of success. Next time, I will surely make it","No, I need to do better",Yes,22,Moderate Stress
12/24/2025 20:30:17,No,Absolutely,Yes,5-8 hours,"No, I mostly play alone",PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,No,4,Yes,4,5,1,Yes,No,No,Yes,No,1,2,No,4,Yes,8,CAT,car,1,2,4,4,2,2,4,2,4,2,4,2,4,2,4,3,3,No,2,No,I keep myself prepared by considering negative alternatives,Ambivert,No,Yes,I genuinely want to be left alone. I like it this way,4,5,No,Yes,2,Yes,No,No,No,2,No,2,No,No,3,5-8 hours,3.3-3.7,4,4,Sometimes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"Yes, I am happy with my academics. No regrets.",I am not sure,22,Moderate Stress
12/24/2025 21:22:49,No,Absolutely,Yes,1-4 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Yes,4,No,2,4,3,Yes,No,Yes,Yes,Yes,5,2,Yes,3,No,6,"CAR, CAT","table, chair",2,2,4,4,4,2,2,4,3,3,3,3,3,5,1,3,3,No,2,No,I keep myself prepared by considering negative alternatives,Introvert,Yes,No,I am awkward and I don't know how to engage with people,2,2,No,Yes,5,Yes,Yes,Yes,No,2,No,2,No,No,4,1-4 hours,3.7-4.0,2,4,Sometimes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,22,Moderate Stress
12/24/2025 21:20:36,No,Absolutely,Yes,1-4 hours,Yes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Yes,4,3,3,Yes,Yes,Yes,Yes,Yes,3,2,No,4,Yes,7,"CAR, CAT, TABLE, CHAIR","car, table",2,1,4,4,4,3,2,4,3,3,3,3,3,4,2,3,4,Yes,5,No,I keep myself prepared by considering negative alternatives,Introvert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",2,2,No,Yes,4,No,No,No,No,4,Yes,4,No,No,4,5-8 hours,3.3-3.7,3,1,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",I am not sure,23,Moderate Stress
12/25/2025 0:22:36,No,I am not sure,Yes,1-4 hours,Sometimes,PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games) - Age of Empires",Sometimes,Sometimes,4,Sometimes,2,2,1,No,No,Yes,Yes,No,2,1,No,4,Yes,7,CAT,"car, table, chair",2,3,3,4,4,4,1,5,4,2,4,2,4,2,4,3,3,No,4,No,I keep myself prepared by considering negative alternatives,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",2,1,Yes,Yes,3,No,No,No,Yes,4,No,3,No,No,4,9-12 hours,3.3-3.7,2,1,No,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,23,Moderate Stress
12/28/2025 10:13:35,No,Absolutely,Yes,1-4 hours,"No, I mostly play alone",PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games) - Age of Empires",Yes,Sometimes,3,No,1,1,2,No,No,Yes,Yes,Yes,1,2,Yes,2,Yes,8,CAT,"car, table, chair",1,2,5,4,2,5,2,4,2,4,4,2,4,2,4,4,4,Yes,4,Yes,I keep myself prepared by considering negative alternatives,Introvert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I want to but I feel burnt out from too much interaction,3,1,No,No,1,Yes,No,No,No,2,No,2,No,No,4,1-4 hours,3.7-4.0,2,1,Sometimes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,23,Moderate Stress
12/22/2025 13:47:32,No,Absolutely,Yes,9-12 hours,Yes,"PC, Mobile (phone or tablet)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Yes,4,Yes,3,3,4,Yes,Yes,Yes,Yes,No,5,1,Yes,4,Yes,7,"CAR, CAT, CHAIR",table,1,3,4,3,4,4,2,4,4,2,3,3,3,3,3,4,4,No,4,No,I keep myself prepared by considering negative alternatives,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",2,1,No,Yes,4,Yes,No,No,Yes,2,Yes,4,No,No,3,More than 24 hours,3.3-3.7,3,2,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",I am not sure,24,Moderate Stress
